#####################################################################
# Alchemist log file - simulation started at: 2024-03-07T09:07+0000 #
#####################################################################
#
# random = 1.0, scenarioType = 1, nodeSide = 10, variableRate = 5
#
# The columns have the following meaning: 
# time saved[sum] saved[variance] 
0.0 0.0 NaN
0.0 0.0 NaN
1.0009771179591533 0.0 NaN
2.0009771179591533 0.0 NaN
3.0009771179591542 0.0 NaN
4.000977117959155 0.0 NaN
5.000977117959156 0.0 NaN
6.000977117959157 0.0 NaN
7.000977117959158 0.0 NaN
8.000977117959158 0.0 NaN
9.000977117959154 0.0 NaN
10.00097711795915 0.0 NaN
11.000977117959147 0.0 NaN
12.000977117959144 0.0 NaN
13.00097711795914 0.0 NaN
14.000977117959136 0.0 NaN
15.000977117959133 0.0 NaN
16.00097711795913 0.0 NaN
17.000977117959128 0.0 NaN
18.000977117959124 0.0 NaN
19.00097711795912 0.0 NaN
20.000977117959117 0.0 NaN
21.000977117959113 0.0 NaN
22.00097711795911 0.0 NaN
23.000977117959106 0.0 NaN
24.000977117959103 0.0 NaN
25.0009771179591 0.0 NaN
26.000977117959096 0.0 NaN
27.000977117959092 0.0 NaN
28.00097711795909 0.0 NaN
29.000977117959085 0.0 NaN
30.00097711795908 0.0 NaN
31.000977117959078 0.0 NaN
32.000977117959074 0.0 NaN
33.00097711795909 0.0 NaN
34.0009771179591 0.0 NaN
35.00097711795912 0.0 NaN
36.00097711795913 0.0 NaN
37.000977117959145 0.0 NaN
38.00097711795916 0.0 NaN
39.000977117959174 0.0 NaN
40.00097711795919 0.0 NaN
41.0009771179592 0.0 NaN
42.000977117959216 0.0 NaN
43.00097711795923 0.0 NaN
44.000977117959245 0.0 NaN
45.00097711795926 0.0 NaN
46.00097711795927 0.0 NaN
47.00097711795929 0.0 NaN
48.0009771179593 0.0 NaN
49.000977117959316 0.0 NaN
50.00097711795933 0.0 NaN
51.000977117959344 0.0 NaN
52.00097711795936 0.0 NaN
53.00097711795937 0.0 NaN
54.00097711795939 0.0 NaN
55.0009771179594 0.0 NaN
56.000977117959415 0.0 NaN
57.00097711795943 0.0 NaN
58.000977117959444 0.0 NaN
59.00097711795946 0.0 NaN
60.00097711795947 0.0 NaN
61.000977117959486 0.0 NaN
62.0009771179595 0.0 NaN
63.000977117959515 0.0 NaN
64.00097711795952 0.0 NaN
65.00097711795954 0.0 NaN
